principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio,numerofactor,categoria_precio
Amitriptilina,Tableta,Amitriptilina 25 mg,mg,Amitriptilina,Genfar,303.4302814,Medio,2,Economico
Amitriptilina,Tableta,Amitriptilina 25 mg,mg,Amitriptilina,Genfar,22.49526565,Bajo,1,Economico
Naproxeno,Tableta,Naproxeno 250 mg,mg,Naproxeno,Genfar,390.2350859,Medio,2,Economico
Naproxeno,Tableta,Naproxeno 250 mg,mg,Naproxeno,Genfar,66.81764567,Bajo,1,Economico
Tramadol,Capsula,Tramadol 50 mg,mg,Tramal,Grunenthal,4386.331034,Alto,3,Economico
Tramadol,Capsula,Tramadol 50 mg,mg,Tramal,Grunenthal,2422.698077,Alto,3,Economico
Metoclopramida,Tableta,Metoclopramida 10 mg,mg,Metoclopramida,Pentacoop,117.1963225,Medio,2,Economico
Metoclopramida,Tableta,Metoclopramida 10 mg,mg,Metoclopramida,Pentacoop,0.4155778894,Bajo,1,Economico
Ibuprofeno,Tableta,Ibuprofeno 800 mg,mg,Ibuprofeno,Genfar,238.3034485,Medio,2,Economico
Ibuprofeno,Tableta,Ibuprofeno 800 mg,mg,Ibuprofeno,Genfar,124.4648764,Bajo,1,Economico
Tinidazol,Tableta,Tinidazol 500 mg,mg,Tinidazol,Tecnoquimicas,541.2747873,Alto,3,Economico
Tinidazol,Tableta,Tinidazol 500 mg,mg,Tinidazol,Tecnoquimicas,278.4006515,Alto,3,Economico
Escherichia Coli,Capsula,Escherichia Coli 6 mg,mg,Uro-Vaxom,Om,7822.915359,Medio,2,Economico
Escherichia Coli,Capsula,Escherichia Coli 6 mg,mg,Uro-Vaxom,Om,3845.584391,Medio,2,Economico
Simeticona,Capsula,Simeticona 250 mg,mg,Digesta,Procaps,883.7351345,Medio,2,Economico
Simeticona,Capsula,Simeticona 250 mg,mg,Digesta,Procaps,326.5019577,Medio,2,Economico
Levodopa Y Carbidopa,Tableta,Levodopa 250 mg + Carbidopa 25 mg,mg,Carbidopa,Winthrop,1590.113355,Alto,3,Economico
Levodopa Y Carbidopa,Tableta,Levodopa 250 mg + Carbidopa 25 mg,mg,Carbidopa,Winthrop,216.9904138,Bajo,1,Economico
Clozapina,Tableta,Clozapina 25 mg,mg,Leponex,Mylan,1750.0,Alto,3,Economico
Metronidazol,Tableta,Metronidazol 500 mg,mg,Metronidazol,Tecnoquimicas,183.2376003,Medio,2,Economico
Metronidazol,Tableta,Metronidazol 500 mg,mg,Metronidazol,Tecnoquimicas,132.0,Medio,2,Economico
Amlodipino,Tableta,Amlodipino 10 mg,mg,Norvas,Pfizer,6609.660173,Alto,3,Economico
Amlodipino,Tableta,Amlodipino 10 mg,mg,Norvas,Pfizer,8743.394904,Alto,3,Economico
Ondansetron,Tableta,Ondansetron 8 mg,mg,Bryterol,Ropsohn,4859.0,Alto,3,Economico
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Genfar,1988.342421,Medio,2,Economico
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Genfar,806.281907,Bajo,1,Economico
Furosemida,Tableta,Furosemida 40 mg,mg,Furosemida,American Generics,177.9691421,Medio,2,Economico
Gemfibrozilo,Tableta,Gemfibrozilo 600 mg,mg,Gemfibrozilo,Winthrop,651.240699,Medio,2,Economico
Gemfibrozilo,Tableta,Gemfibrozilo 600 mg,mg,Gemfibrozilo,Winthrop,151.8890327,Bajo,1,Economico
Lovastatina,Tableta,Lovastatina 20 mg,mg,Lovastatina,Novamed,75.32653061,Medio,2,Economico
Acido Acetilsalicilico,Tableta,Acido Acetilsalicilico 100 mg,mg,Cardioaspirina,Bayer,1529.9,Alto,3,Economico
Acido Acetilsalicilico,Tableta,Acido Acetilsalicilico 100 mg,mg,Cardioaspirina,Bayer,898.7742402,Alto,3,Economico
Cefradina,Tableta,Cefradina 1000 mg,mg,Cefradina,Tecnoquimicas,4812.681092,Medio,2,Economico
Cefradina,Tableta,Cefradina 1000 mg,mg,Cefradina,Tecnoquimicas,2509.030418,Medio,2,Economico
Vitamina E,Capsula,Vitamina E 400 IU,IU,Aquasol E,Siegfried,1249.455903,Medio,2,Economico
Vitamina E,Capsula,Vitamina E 400 IU,IU,Aquasol E,Siegfried,192.405801,Bajo,1,Economico
Piroxicam,Capsula,Piroxicam 20 mg,mg,Piroxicam,Tecnoquimicas,315.8438544,Medio,2,Economico
Piroxicam,Capsula,Piroxicam 20 mg,mg,Piroxicam,Tecnoquimicas,182.1558407,Alto,3,Economico
Diclofenaco E Hidroxido De Aluminio,Capsula,Hidroxido De Aluminio 200 mg + Diclofenaco 100 mg,mg,Diclofenaco,Procaps,949.1201717,Medio,2,Economico
Diclofenaco E Hidroxido De Aluminio,Capsula,Hidroxido De Aluminio 200 mg + Diclofenaco 100 mg,mg,Diclofenaco,Procaps,230.0,Medio,2,Economico
Cefalexina,Tableta,Cefalexina 500 mg,mg,Cefalexina,Lafrancol,492.0542037,Bajo,1,Economico
Cefradina,Capsula,Cefradina 500 mg,mg,Cefradina,Lafrancol,854.0,Medio,2,Economico
Cefradina,Capsula,Cefradina 500 mg,mg,Cefradina,Lafrancol,856.9860348,Bajo,1,Economico
Haloperidol,Tableta,Haloperidol 5 mg,mg,Haloperidol,Memphis,299.0476994,Alto,3,Economico
Haloperidol,Tableta,Haloperidol 5 mg,mg,Haloperidol,Memphis,2.8,Bajo,1,Economico
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,La Sante,704.3048736,Medio,2,Economico
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,La Sante,272.3078421,Medio,2,Economico
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,Tecnoquimicas,676.2855539,Medio,2,Economico
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,Tecnoquimicas,504.731684,Alto,3,Economico
Tinidazol,Tableta,Tinidazol 1 g,g,Tinidazol,Genfar,736.9594825,Bajo,1,Economico
Tinidazol,Tableta,Tinidazol 1 g,g,Tinidazol,Genfar,441.4046108,Alto,3,Economico
Benzidamina,Tableta,Bencidamina 3 mg,mg,Benzirin,Aziende,1681.636137,Medio,2,Economico
Benzidamina,Tableta,Bencidamina 3 mg,mg,Benzirin,Aziende,1614.0,Medio,2,Economico
Hidroclorotiazida Y Losartan,Tableta,"Hidroclorotiazida 12,5 mg + Losartan 50 mg",mg,Satoren,Bussié,6832.877778,Medio,2,Economico
Hidroclorotiazida Y Losartan,Tableta,"Hidroclorotiazida 12,5 mg + Losartan 50 mg",mg,Satoren,Bussié,66.52033983,Bajo,1,Economico
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Motrin,Pfizer,1157.0,Alto,3,Economico
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Motrin,Pfizer,803.6190476,Medio,2,Economico
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Motrin,Pfizer,1993.0,Medio,2,Economico
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Motrin,Pfizer,1442.0,Alto,3,Economico
Celecoxib,Capsula,Celecoxib 200 mg,mg,Celebrex,Pfizer,1350.785345,Medio,2,Economico
Celecoxib,Capsula,Celecoxib 200 mg,mg,Celebrex,Pfizer,1304.067873,Alto,3,Economico
Biperideno,Tableta,Biperideno 2 mg,mg,Biperideno,Tecnoquimicas,483.3697556,Alto,3,Economico
Biperideno,Tableta,Biperideno 2 mg,mg,Biperideno,Tecnoquimicas,147.9246484,Bajo,1,Economico
Acetaminofen Y Cafeina,Tableta,Cafeina 50 mg + Acetaminofen 500 mg,mg,Dolofen Forte,Procaps,1010.0,Alto,3,Economico
Acetaminofen Y Cafeina,Tableta,Cafeina 50 mg + Acetaminofen 500 mg,mg,Dolofen Forte,Procaps,264.5098039,Medio,2,Economico
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Memphis,1293.087482,Bajo,1,Economico
Metoprolol,Tableta,Metoprolol 200 mg,mg,Betaloc Zok,Astrazeneca,2040.0,Medio,2,Economico
Metoprolol,Tableta,Metoprolol 200 mg,mg,Betaloc Zok,Astrazeneca,2005.287356,Medio,2,Economico
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,Memphis,2018.225878,Bajo,1,Economico
Hidroxicarbamida,Capsula,Hidroxiurea 500 mg,mg,Hydroxyurea,Medac,14.05119735,Bajo,1,Economico
Hidroxicarbamida,Capsula,Hidroxiurea 500 mg,mg,Hydroxyurea,Medac,14.01991512,Bajo,1,Economico
Telmisartan,Tableta,Telmisartan 80 mg,mg,Micardis,Boehringer,953.6334955,Medio,2,Economico
Telmisartan,Tableta,Telmisartan 80 mg,mg,Micardis,Boehringer,889.851872,Alto,3,Economico
Tamsulosina,Capsula,"Tamsulosina 0,4 mg",mg,Tamsulon,Monte Verde,5187.420369,Medio,2,Economico
Tamsulosina,Capsula,"Tamsulosina 0,4 mg",mg,Tamsulon,Monte Verde,907.7196429,Medio,2,Economico
Moxifloxacina,Tableta,Moxifloxacina 400 mg,mg,Avelox,Bayer,32556.8,Alto,3,Moderado
Moxifloxacina,Tableta,Moxifloxacina 400 mg,mg,Avelox,Bayer,8196.0,Alto,3,Economico
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorvastatina,Procaps,720.4896043,Medio,2,Economico
Mebeverina,Capsula,Mebeverina 200 mg,mg,Duspatalin,Lafrancol,6255.417293,Alto,3,Economico
Mebeverina,Capsula,Mebeverina 200 mg,mg,Duspatalin,Lafrancol,3600.0,Medio,2,Economico
Estrogenos Conjugados,Tableta,"Estrogenos Conjugados 0,625 mg",mg,Estermax,Chalver,886.25,Medio,2,Economico
Estrogenos Conjugados,Tableta,"Estrogenos Conjugados 0,625 mg",mg,Estermax,Chalver,471.3378597,Medio,2,Economico
Ciproterone Y Etinilestradiol,Tableta,"Etinilestradiol 0,035 mg + Ciproterona Acetato 2 mg",mg,Facetix,Synthesis,401.9728276,Bajo,1,Economico
Ciproterone Y Etinilestradiol,Tableta,"Etinilestradiol 0,035 mg + Ciproterona Acetato 2 mg",mg,Facetix,Synthesis,393.4540943,Alto,3,Economico
Lorazepam,Tableta,Lorazepam 2 mg,mg,Ativan,Pfizer,1430.0,Alto,3,Economico
Lorazepam,Tableta,Lorazepam 2 mg,mg,Ativan,Pfizer,586.8670213,Alto,3,Economico
Lorazepam,Tableta,Lorazepam 1 mg,mg,Ativan,Pfizer,758.0,Medio,2,Economico
Lorazepam,Tableta,Lorazepam 1 mg,mg,Ativan,Pfizer,378.2738128,Medio,2,Economico
Diclofenaco,Tableta,Diclofenaco 50 mg,mg,Diclofenaco,Genfar,117.1048024,Medio,2,Economico
Diclofenaco,Tableta,Diclofenaco 50 mg,mg,Diclofenaco,Genfar,43.56070247,Medio,2,Economico
Hidroclorotiazida Y Amlodipino,Tableta,"Hidroclorotiazida 12,5 mg + Amlodipino 5 mg",mg,Amdipin H,Lafrancol,9447.321818,Medio,2,Economico
Hidroclorotiazida Y Amlodipino,Tableta,"Hidroclorotiazida 12,5 mg + Amlodipino 5 mg",mg,Amdipin H,Lafrancol,2948.538067,Medio,2,Economico
Hidroclorotiazida Y Amlodipino,Tableta,Hidroclorotiazida 25 mg + Amlodipino 10 mg,mg,Amdipin H,Lafrancol,13399.1,Medio,2,Moderado
Hidroclorotiazida Y Amlodipino,Tableta,Hidroclorotiazida 25 mg + Amlodipino 10 mg,mg,Amdipin H,Lafrancol,5371.459055,Medio,2,Economico
Progesterona,Capsula,Progesterona 100 mg,mg,Geslutin Pnm,Asofarma,4352.452998,Medio,2,Economico
Pamoato De Pirantel,Tableta,Pirantel 250 mg,mg,Pirantel,Genfar,519.7096427,Bajo,1,Economico
Pamoato De Pirantel,Tableta,Pirantel 250 mg,mg,Pirantel,Genfar,214.4763168,Bajo,1,Economico
Trazodona,Tableta,Trazodona 150 mg,mg,Trittico A.C,Aziende,10025.86659,Medio,2,Moderado
Trazodona,Tableta,Trazodona 150 mg,mg,Trittico A.C,Aziende,2980.26081,Medio,2,Economico
Exemestano,Tableta,Exemestano 25 mg,mg,Aromasin,Pfizer,3786.390569,Medio,2,Economico
Vitamina E,Capsula,Vitamina E 1000 IU,IU,Vitamina E,Procaps,1598.953383,Bajo,1,Economico
Vitamina E,Capsula,Vitamina E 1000 IU,IU,Vitamina E,Procaps,370.9477901,Bajo,1,Economico
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Tecnoquimicas,11870.32283,Alto,3,Moderado
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Tecnoquimicas,2242.010989,Medio,2,Economico
Naproxeno,Tableta,Naproxeno 550 mg,mg,Naproxeno Sodico,Tecnoquimicas,873.0106631,Bajo,1,Economico
Naproxeno,Tableta,Naproxeno 550 mg,mg,Naproxeno Sodico,Tecnoquimicas,409.908326,Bajo,1,Economico
Vitamina A,Capsula,Retinol ( Vit A) 50000 IU,IU,Retiblan,Colmed,579.4704074,Alto,3,Economico
Vitamina A,Capsula,Retinol ( Vit A) 50000 IU,IU,Retiblan,Colmed,235.291637,Alto,3,Economico
Lamivudina,Tableta,Lamivudina 150 mg,mg,Lutic,Legrand,828.0529801,Medio,2,Economico
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Irbesartan 150 mg",mg,Coaprovel,Sanofi Aventis,937.5,Medio,2,Economico
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Irbesartan 150 mg",mg,Coaprovel,Sanofi Aventis,313.6536421,Medio,2,Economico
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Ibersartan 300 mg",mg,Coaprovel,Sanofi Aventis,1875.0,Medio,2,Economico
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Ibersartan 300 mg",mg,Coaprovel,Sanofi Aventis,624.7572254,Medio,2,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Eroxim,Lafrancol,8628.90984,Alto,3,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Eroxim,Lafrancol,5419.454545,Alto,3,Economico
Multienzimas (Lipasa Proteasa Etc.),Capsula,Pancreatina 150 mg,mg,Creon,Lafrancol,2174.9,Medio,2,Economico
Multienzimas (Lipasa Proteasa Etc.),Capsula,Pancreatina 150 mg,mg,Creon,Lafrancol,1078.077302,Medio,2,Economico
Gabapentin,Tableta,Gabapentin 600 mg,mg,Neurontin,Pfizer,803.1111111,Medio,2,Economico
Gabapentin,Tableta,Gabapentin 600 mg,mg,Neurontin,Pfizer,790.8233669,Alto,3,Economico
Fenobarbital,Tableta,Fenobarbital 100 mg,mg,Fenobarbital,Fondo Nacional De Estupefacientes,193.6948281,Medio,2,Economico
Fenobarbital,Tableta,Fenobarbital 100 mg,mg,Fenobarbital,Fondo Nacional De Estupefacientes,119.2436242,Medio,2,Economico
Fenobarbital,Tableta,Fenobarbital 50 mg,mg,Fenobarbital,Fondo Nacional De Estupefacientes,660.0547906,Medio,2,Economico
Fenobarbital,Tableta,Fenobarbital 50 mg,mg,Fenobarbital,Fondo Nacional De Estupefacientes,152.5333333,Medio,2,Economico
Metformina,Tableta,Metformina 850 mg,mg,Metformina,Winthrop,49.74509557,Bajo,1,Economico
Metformina,Tableta,Metformina 850 mg,mg,Metformina,Winthrop,850.790824,Alto,3,Economico
Danazol,Capsula,Danazol 200 mg,mg,Cipladanogen,Cipla,1122.314318,Medio,2,Economico
Danazol,Capsula,Danazol 200 mg,mg,Cipladanogen,Cipla,965.0773558,Medio,2,Economico
Oseltamivir,Capsula,Oseltamivir 75 mg,mg,Tamiflu,Roche,8932.0,Alto,3,Economico
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,Genfar,421.9964177,Medio,2,Economico
Meloxicam,Tableta,Meloxicam 15 mg,mg,Meloxicam,La Sante,970.6120506,Medio,2,Economico
Meloxicam,Tableta,Meloxicam 15 mg,mg,Meloxicam,La Sante,72.85714286,Bajo,1,Economico
Prednisona,Tableta,Prednisona 50 mg,mg,Prednisona,Tecnoquimicas,2597.78526,Medio,2,Economico
Prednisona,Tableta,Prednisona 50 mg,mg,Prednisona,Tecnoquimicas,642.9260425,Medio,2,Economico
Claritromicina,Tableta,Claritromicina 500 mg,mg,Klamicina,Mega Labs,2780.79835,Medio,2,Economico
Bupropion,Tableta,Bupropion 150 mg,mg,Odranal,Monte Verde,1804.5,Alto,3,Economico
Bupropion,Tableta,Bupropion 150 mg,mg,Odranal,Monte Verde,709.404901,Bajo,1,Economico
Levonorgestrel Y Etinilestradiol,Tableta,"Levonorgestrel 0,15 mg + Etinilestradiol 0,03 mg",mg,Nordette,Pfizer,912.0,Alto,3,Economico
Levonorgestrel Y Etinilestradiol,Tableta,"Levonorgestrel 0,15 mg + Etinilestradiol 0,03 mg",mg,Nordette,Pfizer,249.0,Medio,2,Economico
Meloxicam,Tableta,"Meloxicam 7,5 mg",mg,Meloxicam,La Sante,698.7789148,Medio,2,Economico
Meloxicam,Tableta,"Meloxicam 7,5 mg",mg,Meloxicam,La Sante,55.96764138,Bajo,1,Economico
Acetaminofen + Clorfeniramina + Fenilefrina,Tableta,Acetaminofen 500 mg + Clorfeniramina 2 mg + Fenilefrina 5 mg,mg,Dolex Gripa,Haleon,472.5,Alto,3,Economico
Acetaminofen + Clorfeniramina + Fenilefrina,Tableta,Acetaminofen 500 mg + Maleato De Clorfeniramina 2 mg + Fenilefrina 5 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,957.9072534,Bajo,1,Economico
Acetaminofen + Clorfeniramina + Fenilefrina,Tableta,Acetaminofen 500 mg + Fenilefrina 5 mg + Maleato De Clorfeniramina 2 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,896.7967233,Alto,3,Economico
Acetaminofen + Clorfeniramina + Fenilefrina,Tableta,Fenilefrina 5 mg + Maleato De Clorfeniramina 2 mg + Acetaminofen 500 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,880.1416949,Bajo,1,Economico
Acetaminofen + Clorfeniramina + Fenilefrina,Tableta,Fenilefrina 5 mg + Maleato De Clorfeniramina 2 mg + Acetaminofen 500 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,733.23,Medio,2,Economico
Temozolomida,Capsula,Temozolomida 100 mg,mg,Temodal,Merck Sharp Dome,63095.6013,Alto,3,Costoso
Temozolomida,Capsula,Temozolomida 250 mg,mg,Temodal,Merck Sharp Dome,195937.6581,Alto,3,Costoso
Temozolomida,Capsula,Temozolomida 20 mg,mg,Temodal,Merck Sharp Dome,13112.32448,Bajo,1,Moderado
Meloxicam,Tableta,"Meloxicam 7,5 mg",mg,Meloxicam,Mk,828.94004,Medio,2,Economico
Meloxicam,Tableta,"Meloxicam 7,5 mg",mg,Meloxicam,Mk,466.7142857,Alto,3,Economico
Meloxicam,Tableta,Meloxicam 15 mg,mg,Meloxicam,Mk,1015.659174,Medio,2,Economico
Meloxicam,Tableta,Meloxicam 15 mg,mg,Meloxicam,Mk,126.724676,Medio,2,Economico
Nimodipino,Tableta,Nimodipino 30 mg,mg,Nisom,Siegfried,129.2680025,Medio,2,Economico
Hidroxizina,Tableta,Hidroxicina 25 mg,mg,Hidroxicina,Genfar,149.7723042,Bajo,1,Economico
Hidroxizina,Tableta,Hidroxicina 25 mg,mg,Hidroxicina,Genfar,76.30900007,Bajo,1,Economico
Levonorgestrel Y Etinilestradiol,Tableta,"Levonorgestrel 0,15 mg + Etinilestradiol 0,03 mg",mg,Microfemin,Gedeon Richter,648.4692264,Medio,2,Economico
Levonorgestrel Y Etinilestradiol,Tableta,"Levonorgestrel 0,15 mg + Etinilestradiol 0,03 mg",mg,Microfemin,Gedeon Richter,266.08,Alto,3,Economico
Budesonida,Capsula,Budesonida 3 mg,mg,Budenofalk,Dr Falk Pharma,3299.1,Medio,2,Economico
Budesonida,Capsula,Budesonida 3 mg,mg,Budenofalk,Dr Falk Pharma,3222.604079,Medio,2,Economico
Levonorgestrel,Tableta,"Levonorgestrel 0,75 mg",mg,Postinor,Gedeon Richter,3868.5,Medio,2,Economico
Oxibutinina,Tableta,Oxibutinina 10 mg,mg,Mutum Cr,Laboratorios Elea Phoenix,3286.427021,Medio,2,Economico
Oxibutinina,Tableta,Oxibutinina 10 mg,mg,Mutum Cr,Laboratorios Elea Phoenix,1911.747986,Medio,2,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafil,Mk,2567.173199,Medio,2,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafil,Mk,2162.0,Medio,2,Economico
Amoxicilina,Tableta,Amoxicilina 875 mg,mg,Amoxidal Duo,Roemmers,3817.331727,Alto,3,Economico
Amoxicilina,Tableta,Amoxicilina 875 mg,mg,Amoxidal Duo,Roemmers,2400.0,Alto,3,Economico
Piridostigmina,Tableta,Piridostigmina 60 mg,mg,Mestinon,Grossman,9419.0,Medio,2,Economico
Piridostigmina,Tableta,Piridostigmina 60 mg,mg,Mestinon,Grossman,768.386469,Bajo,1,Economico
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorvastatina,Mk,1766.406663,Medio,2,Economico
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorvastatina,Mk,345.3816475,Alto,3,Economico
Montelukast,Tableta Masticable,Montelukast 4 mg,mg,Singulair,Merck,78016.81579,Alto,3,Costoso
Montelukast,Tableta Masticable,Montelukast 4 mg,mg,Singulair,Merck,12166.22951,Alto,3,Moderado
Bisoprolol,Tableta,"Bisoprolol 2,5 mg",mg,Concor,Merck,322.5333333,Alto,3,Economico
Bisoprolol,Tableta,"Bisoprolol 2,5 mg",mg,Concor,Merck,297.4907454,Alto,3,Economico
Albendazol,Tableta,Albendazol 200 mg,mg,Albendazol,Laproff,94.62727273,Bajo,1,Economico
Albendazol,Tableta,Albendazol 200 mg,mg,Albendazol,Laproff,253.0914894,Bajo,1,Economico
Atorvastatina,Tableta,Atorvastatina 10 mg,mg,Atorvastatina,Mk,1430.722004,Medio,2,Economico
Atorvastatina,Tableta,Atorvastatina 10 mg,mg,Atorvastatina,Mk,285.7307692,Medio,2,Economico
Orlistat,Capsula,Orlistat 120 mg,mg,Orlistat,Procaps,2250.378503,Medio,2,Economico
Ciclobenzaprina Clorhidrato + Clonixinato De Lisina,Tableta,Clonixinato De Lisina 125 mg + Ciclobenzaprina Clorhidrato 5 mg,mg,Dorixina Relax,Mega Labs,2526.61238,Medio,2,Economico
Ciclobenzaprina Clorhidrato + Clonixinato De Lisina,Tableta,Clonixinato De Lisina 125 mg + Ciclobenzaprina Clorhidrato 5 mg,mg,Dorixina Relax,Mega Labs,1304.822697,Medio,2,Economico
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,American Generics,1976.571361,Bajo,1,Economico
Ibuprofeno + Metacarbamol,Tableta,Ibuprofeno 200 mg + Metocarbamol 500 mg,mg,Metocarbamol,Genfar,836.0199865,Medio,2,Economico
Ibuprofeno + Metacarbamol,Tableta,Ibuprofeno 200 mg + Metocarbamol 500 mg,mg,Metocarbamol,Genfar,178.9723064,Medio,2,Economico
Trimebutina,Capsula,Trimebutina 200 mg,mg,Muvett,Procaps,4150.793651,Alto,3,Economico
Trimebutina,Capsula,Trimebutina 200 mg,mg,Muvett,Procaps,540.8333333,Alto,3,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafil,American Generics,1497.6902,Medio,2,Economico
Omeprazol,Capsula,Omeprazol 20 mg,mg,Prozidex,Bioquifar,204.6153846,Medio,2,Economico
Omeprazol,Capsula,Omeprazol 20 mg,mg,Prozidex,Bioquifar,57.0,Bajo,1,Economico
Clormadinona Y Etinilestradiol,Tableta,"Etinilestradiol 0,03 mg + Acetato De Clormadinona 2 mg",mg,Belara,Grunenthal,1073.158535,Medio,2,Economico
Clormadinona Y Etinilestradiol,Tableta,"Etinilestradiol 0,03 mg + Acetato De Clormadinona 2 mg",mg,Belara,Grunenthal,729.9315931,Medio,2,Economico
Dimenhidrinato,Tableta,Dimenhidrinato 50 mg,mg,Mareol,Glaxosmithkline,505.8045635,Alto,3,Economico
Hidroclorotiazida Y Losartan,Tableta,Hidroclorotiazida 25 mg + Losartan 100 mg,mg,Hyzaar Forte,Merck,13524.0,Alto,3,Moderado
Hidroclorotiazida Y Losartan,Tableta,Hidroclorotiazida 25 mg + Losartan 100 mg,mg,Hyzaar Forte,Merck,2436.380282,Alto,3,Economico
Oxcarbazepina,Tableta,Oxcarbazepina 300 mg,mg,Trileptal,Novartis,594.0,Medio,2,Economico
Oxcarbazepina,Tableta,Oxcarbazepina 300 mg,mg,Trileptal,Novartis,594.0,Alto,3,Economico
